NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_12324;NC_015765.1_6073;NC_015772.1_14283;NC_015775.1_15859;NW_003565985.1_26226;NC_015776.1_17019;NC_015762.1_1265;NC_015777.1_17856;NC_015769.1_10192;NW_003566384.1_33820;NC_015772.1_14088;NC_015767.1_7711;NC_015771.1_11753;NC_015767.1_7794;NC_015763.1_1766;NC_015771.1_11899;NC_015773.1_14613;NC_015776.1_17233;NC_015779.1_19264;NW_003566135.1_29581;NC_015771.1_11678;MC65_None;bte-mir-2788_MI0016140;bte-mir-3715_MI0016227;MC37_None
LOC100648580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.855251026928399;0;0;0;0;0;0
LOC100648613;0;0;0;0;0;0;0;-0.820207403152321;0;0;-0.907580307955138;0;0;0;-0.870980849653491;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648687;0;0;0;0;0;0;0;-0.843008127616533;0;0;-0.868563740685028;0;0;0;-0.915184109100409;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649060;0;0;0;0;0;0;0;-0.804302218007335;0;0;-0.880939060152134;0;0;0;-0.880261383067192;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649206;0;0;0;0;0;0;0;-0.860204100816787;0;0;-0.899295934751307;0;0;0;-0.910355216453618;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649548;0;0;0;0;0;0;0;-0.82514067707193;0;0;-0.899390552737243;0;0;0;-0.856904639957698;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649617;0;0;0;0;0;0;0;0;0;0;-0.864012755259319;0;0;0;-0.850151026724186;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649684,LOC100649799;0;0;0;0;0;0;0;-0.875640645222858;0;0;-0.931254541995567;0;0;0;-0.916193052530986;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649746;0;0;0;0;0;0;0;-0.86024273243901;0;0;-0.929667260355482;0;0;0;-0.881155607471587;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649867;0;0;0;0;0;0;0;0.869739132739871;0;0;0.904230767756203;0;0;0;0.92117545254841;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649872;0;0;0;0;0;0;0;-0.862421546710955;0;0;-0.916290458825231;0;0;0;-0.914363149874146;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100649912;0;0;0;0;0;0;0;-0.857589172810996;0;0;-0.927046414071397;0;0;0;-0.895564752291288;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650166;0;0;0;0;0;0;0;-0.859417523283837;0;0;-0.91874600371045;0;0;0;-0.912559269993569;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650271;0;0;0;0;0;0;0;-0.865618319554281;0;0;-0.915836459472992;0;0;0;-0.909007362923063;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650592;0;0;0;0;0;0;0;-0.807126622644422;0;0;-0.912224344403024;0;0;0;-0.866357025280013;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100650715;0;0;0;0;0;0;0;0;0;0;-0.878156973563522;0;0;0;-0.857180646375729;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651143;0;0;0;0;0;0;0;-0.872374445957225;0;0;-0.914095979371492;0;0;0;-0.932400040115012;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651232,LOC100651471;0;0;0;0;0;0;0;-0.808835318218207;0;0;-0.881725186738155;0;0;0;-0.865200662330519;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651366;0;0;0;0;0;0;0;-0.839963879064603;0;0;-0.891834574807803;0;0;0;-0.88073349387091;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651655;0;0;0;0;0;0;0;0.833061474641231;0;0;0.904266140854651;0;0;0;0.861117958952237;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651720;0;0;0;0;0;0;0;-0.836298752288138;0;0;-0.894568182722969;0;0;0;-0.885406268982533;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651862;0;0;0;0;0;0;0;-0.850814213730828;0;0;-0.896469135757867;0;0;0;-0.901284768020226;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100652007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100652114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100652140,LOC100652258;0;0;0;0;0;0;0;-0.863425543819237;0;0;-0.899961362439219;0;0;0;-0.876723198224021;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100652148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100652314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VSP;0;0;0;0;0;0;0;0.817294106393166;0;0;0.904255126944762;0;0;0;0.862697745920394;0;0;0;0;0;0;0;0;0;0;0;0;0
