NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_11825;NC_015772.1_14283;NC_015773.1_14909;NC_015778.1_18507;NC_015775.1_15859;NW_003565985.1_26226;NC_015777.1_17843;NC_015769.1_10192;NC_015770.1_11556;NC_015773.1_15238;NC_015778.1_18720;NW_003566858.1_37709;NC_015765.1_5591;NC_015770.1_10730;NW_003566135.1_29581;NC_015769.1_10121;NC_015762.1_1236;NC_015771.1_11678;bte-mir-1_MI0001575;MC65_None;bte-mir-9a_MI0001596;bte-bantam_MI0001574_;bte-mir-125_MI0001578;bte-mir-279b_MI0016201;MC37_None
LOC100648482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648530,LOC100648994;0;0;0;0;0;0;0;0;-0.878977096364951;0;0;0;0;0;0;0;0;0;0;0;0;-0.936644227402761;0;-0.913937076700829;-0.904434416241643;-0.89855652367156;0;0
LOC100648627;0;0;0;0;0;0;0;0;-0.904049491721539;0;0;0;0;0;0;0;0;0;0;0;0;-0.94609569415359;0;-0.953536756822427;-0.943646949779948;-0.945579781699271;0;0
LOC100648645;0.85430137363602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648813;0;0;0;0;0;0;0;0;-0.894124879182795;0;0;0;0;0;0;0;0;0;0;0;0;-0.926401955710716;0;-0.920059433092809;-0.903649021974237;-0.924078211287742;0;0
LOC100648826;0;0;0;0;0;0;0;0;-0.885545410940033;0;0;0;0;0;0;0;0;0;0;0;0;-0.921433799398963;0;-0.918166389567358;-0.904016948460181;-0.917377636789418;0;0
LOC100648830;0;0;0;0;0;0;0;0;-0.906634529649614;0;0;0;0;0;0;0;0;0;0;0;0;-0.909879267696352;0;-0.9209298915028;-0.903363213598262;-0.932681640786416;0;0
LOC100648836;0.823711062650159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
